week_date,sales,transactions
31/8/20,16509610,529151
31/8/20,260773,1398
31/8/20,463738,11820
31/8/20,3319,22
31/8/20,8723663,142898
31/8/20,20635,164
31/8/20,2126153,43493
31/8/20,2272687,40076
31/8/20,45518,228
31/8/20,883573,26620
31/8/20,990085,36069
31/8/20,33536,205
31/8/20,2393490,57648
31/8/20,1096531,28987
31/8/20,402380,2031
31/8/20,25858,157
31/8/20,1063716,28592
31/8/20,40740,196
31/8/20,5786447,102736
31/8/20,10501,63
31/8/20,29757,164
31/8/20,224778,1083
31/8/20,930478,22186
31/8/20,20860,135
31/8/20,1769576,46838
31/8/20,665292,18774
31/8/20,2186307,40024
31/8/20,277104,1420
31/8/20,25762,154
31/8/20,312519,1501
31/8/20,5527494,96079
31/8/20,128749,739
31/8/20,694767,14146
31/8/20,479002,2647
24/8/20,397206,1898
24/8/20,1082176,28566
24/8/20,138404,773
24/8/20,32507,167
24/8/20,21917,151
24/8/20,919265,21594
24/8/20,2371526,40597
24/8/20,34932,154
24/8/20,2227688,40986
24/8/20,310461,1420
24/8/20,36620,238
24/8/20,679544,18943
24/8/20,4463,28
24/8/20,1096534,29273
24/8/20,5452817,96492
24/8/20,20669,128
24/8/20,2456263,58184
24/8/20,26524,160
24/8/20,996924,27156
24/8/20,9137,52
24/8/20,207813,974
24/8/20,537132,12337
24/8/20,5765461,103120
24/8/20,1797843,47022
24/8/20,1064389,37271
24/8/20,697708,13157
24/8/20,258305,1334
24/8/20,20685,130
24/8/20,16395314,527116
24/8/20,267523,1367
24/8/20,8667351,143829
24/8/20,457814,2535
24/8/20,2165779,43328
24/8/20,24784,147
17/8/20,16139861,522222
17/8/20,4001,25
17/8/20,244502,1318
17/8/20,22610,146
17/8/20,373940,1913
17/8/20,983842,27467
17/8/20,21468,141
17/8/20,880164,25953
17/8/20,2224654,39435
17/8/20,2078217,42876
17/8/20,2396327,57901
17/8/20,196866,950
17/8/20,22123,134
17/8/20,268347,1375
17/8/20,5717894,102513
17/8/20,1057891,27543
17/8/20,33141,226
17/8/20,621053,18029
17/8/20,894642,21347
17/8/20,27185,151
17/8/20,8256,50
17/8/20,980601,36127
17/8/20,1695344,45550
17/8/20,130572,752
17/8/20,581819,11812
17/8/20,2165593,40439
17/8/20,18101,117
17/8/20,8634287,142421
17/8/20,5322541,93845
17/8/20,35386,207
17/8/20,457017,2549
17/8/20,32055,152
17/8/20,432164,11428
17/8/20,302157,1423
10/8/20,754876,15577
10/8/20,1735568,45956
10/8/20,869093,25709
10/8/20,203301,958
10/8/20,1060153,27674
10/8/20,5651652,102124
10/8/20,19555,131
10/8/20,384475,1913
10/8/20,971003,23420
10/8/20,253770,1335
10/8/20,2065404,42860
10/8/20,452765,2515
10/8/20,22190,145
10/8/20,3523,22
10/8/20,16081303,526413
10/8/20,8367986,139861
10/8/20,5163812,92910
10/8/20,641430,18008
10/8/20,18109,140
10/8/20,2325464,57001
10/8/20,25820,159
10/8/20,967881,35798
10/8/20,2213190,39437
10/8/20,2158541,40096
10/8/20,448436,11433
10/8/20,29180,182
10/8/20,127212,725
10/8/20,947244,26643
10/8/20,9085,49
10/8/20,39281,187
