week_date,sales
31/8/20,3656163
31/8/20,996575
31/8/20,16509610
31/8/20,141942
31/8/20,1758388
31/8/20,243878
31/8/20,519502
31/8/20,371417
31/8/20,49557
31/8/20,3888162
31/8/20,260773
31/8/20,882690
31/8/20,38762
31/8/20,35215
31/8/20,30371770
31/8/20,374327
31/8/20,5185233
31/8/20,2980673
31/8/20,463738
31/8/20,65730
31/8/20,14430196
31/8/20,2176980
31/8/20,478756
31/8/20,5306746
31/8/20,4511841
31/8/20,134249
31/8/20,11451
31/8/20,31589
31/8/20,53567
31/8/20,4768214
31/8/20,396909
31/8/20,8723663
31/8/20,957939
31/8/20,20635
31/8/20,633917
31/8/20,72293
31/8/20,13839
31/8/20,68009
31/8/20,269176
31/8/20,10874
31/8/20,1306932
31/8/20,1144376
31/8/20,15074
31/8/20,1473178
31/8/20,1369115
31/8/20,20255591
31/8/20,48773122
31/8/20,55780
31/8/20,2126153
31/8/20,6603287
31/8/20,1026838
31/8/20,11086427
31/8/20,19049
31/8/20,564306
31/8/20,2272687
31/8/20,12836
31/8/20,1548637
31/8/20,45518
31/8/20,37786
31/8/20,48624
31/8/20,2156778
31/8/20,5941067
31/8/20,395877
31/8/20,22712143
31/8/20,16149
31/8/20,3322211
31/8/20,66422
31/8/20,27184
31/8/20,979807
31/8/20,833470
31/8/20,7178808
31/8/20,7422165
31/8/20,91616
31/8/20,661362
31/8/20,786613
31/8/20,11755
31/8/20,883573
31/8/20,2232935
31/8/20,12438
31/8/20,104677
31/8/20,2016930
31/8/20,461694
31/8/20,95547
31/8/20,990085
31/8/20,10624187
31/8/20,2078649
31/8/20,33536
31/8/20,35957
31/8/20,40760
31/8/20,154393
31/8/20,2393490
31/8/20,30264
31/8/20,530397
31/8/20,3101538
31/8/20,158799
31/8/20,1096531
31/8/20,35519
31/8/20,16520774
31/8/20,45036
31/8/20,126801
31/8/20,56734
31/8/20,6218547
31/8/20,1373529
31/8/20,3964262
31/8/20,14694
31/8/20,690966
31/8/20,1520060
31/8/20,52421
31/8/20,3352338
31/8/20,402380
31/8/20,14910405
31/8/20,25858
31/8/20,481198
31/8/20,11133538
31/8/20,1063716
31/8/20,1001335
31/8/20,63989387
31/8/20,79359
31/8/20,836865
31/8/20,67279
31/8/20,11863
31/8/20,72565
31/8/20,3749562
31/8/20,40740
31/8/20,5786447
31/8/20,250536
31/8/20,2056315
31/8/20,136743
31/8/20,16103
31/8/20,407861
31/8/20,10501
31/8/20,451994
31/8/20,29757
31/8/20,125653
31/8/20,35572
31/8/20,35314
31/8/20,83877
31/8/20,2819145
31/8/20,2770220
31/8/20,224778
31/8/20,210754
31/8/20,51883
31/8/20,15077
31/8/20,18437
31/8/20,411147
31/8/20,55333
31/8/20,85926
31/8/20,20927
31/8/20,1657269
31/8/20,4894437
31/8/20,44346247
31/8/20,839437
31/8/20,134990
31/8/20,23057
31/8/20,49263
31/8/20,1493771
31/8/20,57455
31/8/20,561282
31/8/20,930478
31/8/20,132424
31/8/20,20860
31/8/20,6891042
31/8/20,269373
31/8/20,16755039
31/8/20,33200
31/8/20,9284850
31/8/20,887564
31/8/20,27732
31/8/20,2423159
31/8/20,15927
31/8/20,44500
31/8/20,1769576
31/8/20,665292
31/8/20,2186307
31/8/20,277104
31/8/20,2234801
31/8/20,25762
31/8/20,312519
31/8/20,3227065
31/8/20,269863
31/8/20,2291992
31/8/20,150741
31/8/20,46931
31/8/20,30015
31/8/20,5527494
31/8/20,128749
31/8/20,48912
31/8/20,2829225
31/8/20,815588
31/8/20,471837
31/8/20,372983
31/8/20,48796
31/8/20,25570
31/8/20,694767
31/8/20,121005
31/8/20,944157
31/8/20,2299419
31/8/20,18073554
31/8/20,479002
31/8/20,458589
31/8/20,80612
31/8/20,2472247
31/8/20,69079
31/8/20,11256
31/8/20,4929679
31/8/20,4917788
31/8/20,70596
31/8/20,1026555
31/8/20,14789
31/8/20,26393
24/8/20,44081216
24/8/20,397206
24/8/20,489706
24/8/20,258395
24/8/20,1082176
24/8/20,71730
24/8/20,809732
24/8/20,138404
24/8/20,136429
24/8/20,1464490
24/8/20,3383683
24/8/20,437390
24/8/20,32507
24/8/20,2023506
24/8/20,40229
24/8/20,26362
24/8/20,50284
24/8/20,14534326
24/8/20,50201
24/8/20,2470906
24/8/20,637913
24/8/20,13605
24/8/20,4996901
24/8/20,1307272
24/8/20,35424
24/8/20,471401
24/8/20,21917
24/8/20,17385
