region,week_date,sales,running_total
AFRICA,1/4/19,58352,143254591
AFRICA,1/4/19,6545501,143254591
AFRICA,1/4/19,503466,143254591
AFRICA,1/4/19,14051712,143254591
AFRICA,1/4/19,34961,143254591
AFRICA,1/4/19,18882,143254591
AFRICA,1/4/19,1714736,143254591
AFRICA,1/4/19,315946,143254591
AFRICA,1/4/19,371785,143254591
AFRICA,1/4/19,47937030,143254591
AFRICA,1/4/19,3945461,143254591
AFRICA,1/4/19,2304471,143254591
AFRICA,1/4/19,882048,143254591
AFRICA,1/4/19,39705,143254591
AFRICA,1/4/19,1490280,143254591
AFRICA,1/4/19,313593,143254591
AFRICA,1/4/19,300012,143254591
AFRICA,1/4/19,555987,143254591
AFRICA,1/4/19,22083528,143254591
AFRICA,1/4/19,38195,143254591
AFRICA,1/4/19,5919081,143254591
AFRICA,1/4/19,176477,143254591
AFRICA,1/4/19,27567,143254591
AFRICA,1/4/19,5255034,143254591
AFRICA,1/4/19,38538,143254591
AFRICA,1/4/19,2566953,143254591
AFRICA,1/4/19,4534145,143254591
AFRICA,1/4/19,6523,143254591
AFRICA,1/4/19,21675,143254591
AFRICA,1/4/19,35453,143254591
AFRICA,1/4/19,1551966,143254591
AFRICA,1/4/19,14509117,143254591
AFRICA,1/4/19,2717551,143254591
AFRICA,1/4/19,2388860,143254591
AFRICA,1/6/20,43581,284423665
AFRICA,1/6/20,900107,284423665
AFRICA,1/6/20,15786,284423665
AFRICA,1/6/20,268536,284423665
AFRICA,1/6/20,57211,284423665
AFRICA,1/6/20,15000886,284423665
AFRICA,1/6/20,8350,284423665
AFRICA,1/6/20,462331,284423665
AFRICA,1/6/20,77588,284423665
AFRICA,1/6/20,5958262,284423665
AFRICA,1/6/20,2295376,284423665
AFRICA,1/6/20,774604,284423665
AFRICA,1/6/20,6701194,284423665
AFRICA,1/6/20,26205,284423665
AFRICA,1/6/20,916545,284423665
AFRICA,1/6/20,59131,284423665
AFRICA,1/6/20,2243463,284423665
AFRICA,1/6/20,535375,284423665
AFRICA,1/6/20,44034497,284423665
AFRICA,1/6/20,4782777,284423665
AFRICA,1/6/20,50415,284423665
AFRICA,1/6/20,1693301,284423665
AFRICA,1/6/20,14481894,284423665
AFRICA,1/6/20,1505307,284423665
AFRICA,1/6/20,3765237,284423665
AFRICA,1/6/20,1625167,284423665
AFRICA,1/6/20,2142956,284423665
AFRICA,1/6/20,38664,284423665
AFRICA,1/6/20,487031,284423665
AFRICA,1/6/20,451991,284423665
AFRICA,1/6/20,5260241,284423665
AFRICA,1/6/20,2173243,284423665
AFRICA,1/6/20,36795,284423665
AFRICA,1/6/20,22295027,284423665
AFRICA,1/7/19,2430621,427463008
AFRICA,1/7/19,567967,427463008
AFRICA,1/7/19,1679647,427463008
AFRICA,1/7/19,358021,427463008
AFRICA,1/7/19,6372383,427463008
AFRICA,1/7/19,45244,427463008
AFRICA,1/7/19,13797763,427463008
AFRICA,1/7/19,1490417,427463008
AFRICA,1/7/19,4519817,427463008
AFRICA,1/7/19,3873586,427463008
AFRICA,1/7/19,2827274,427463008
AFRICA,1/7/19,15045099,427463008
AFRICA,1/7/19,6579,427463008
AFRICA,1/7/19,352535,427463008
AFRICA,1/7/19,39675,427463008
AFRICA,1/7/19,25440,427463008
AFRICA,1/7/19,47746336,427463008
AFRICA,1/7/19,47830,427463008
AFRICA,1/7/19,63369,427463008
AFRICA,1/7/19,5757646,427463008
AFRICA,1/7/19,328344,427463008
AFRICA,1/7/19,25541,427463008
AFRICA,1/7/19,5326384,427463008
AFRICA,1/7/19,38320,427463008
AFRICA,1/7/19,391215,427463008
AFRICA,1/7/19,867217,427463008
AFRICA,1/7/19,2423244,427463008
AFRICA,1/7/19,1538146,427463008
AFRICA,1/7/19,21908832,427463008
AFRICA,1/7/19,46073,427463008
AFRICA,1/7/19,191730,427463008
AFRICA,1/7/19,2254332,427463008
AFRICA,1/7/19,638998,427463008
AFRICA,1/7/19,13718,427463008
AFRICA,10/6/19,3583429,564710175
AFRICA,10/6/19,670967,564710175
AFRICA,10/6/19,13472767,564710175
AFRICA,10/6/19,360593,564710175
AFRICA,10/6/19,45683094,564710175
AFRICA,10/6/19,44689,564710175
AFRICA,10/6/19,14154393,564710175
AFRICA,10/6/19,33461,564710175
AFRICA,10/6/19,10287,564710175
AFRICA,10/6/19,5165189,564710175
AFRICA,10/6/19,5530443,564710175
AFRICA,10/6/19,815552,564710175
AFRICA,10/6/19,4424506,564710175
AFRICA,10/6/19,1453001,564710175
AFRICA,10/6/19,553618,564710175
AFRICA,10/6/19,2167545,564710175
AFRICA,10/6/19,2285957,564710175
AFRICA,10/6/19,40122,564710175
AFRICA,10/6/19,21058788,564710175
AFRICA,10/6/19,1423932,564710175
AFRICA,10/6/19,1584009,564710175
AFRICA,10/6/19,49177,564710175
AFRICA,10/6/19,6309504,564710175
AFRICA,10/6/19,206351,564710175
AFRICA,10/6/19,55804,564710175
AFRICA,10/6/19,46484,564710175
AFRICA,10/6/19,48232,564710175
AFRICA,10/6/19,341969,564710175
AFRICA,10/6/19,2146934,564710175
AFRICA,10/6/19,401366,564710175
AFRICA,10/6/19,2709105,564710175
AFRICA,10/6/19,18023,564710175
AFRICA,10/6/19,26164,564710175
AFRICA,10/6/19,371712,564710175
AFRICA,10/8/20,6740764,705884795
AFRICA,10/8/20,1765560,705884795
AFRICA,10/8/20,50571,705884795
AFRICA,10/8/20,46890,705884795
AFRICA,10/8/20,809294,705884795
AFRICA,10/8/20,22048568,705884795
AFRICA,10/8/20,44304726,705884795
AFRICA,10/8/20,71027,705884795
AFRICA,10/8/20,463189,705884795
AFRICA,10/8/20,4800959,705884795
AFRICA,10/8/20,3913341,705884795
AFRICA,10/8/20,6021186,705884795
AFRICA,10/8/20,456586,705884795
AFRICA,10/8/20,28301,705884795
AFRICA,10/8/20,15696,705884795
AFRICA,10/8/20,2397332,705884795
AFRICA,10/8/20,514328,705884795
AFRICA,10/8/20,33755,705884795
AFRICA,10/8/20,36422,705884795
AFRICA,10/8/20,1778458,705884795
AFRICA,10/8/20,57303,705884795
AFRICA,10/8/20,5061797,705884795
AFRICA,10/8/20,973232,705884795
AFRICA,10/8/20,877826,705884795
AFRICA,10/8/20,1574081,705884795
AFRICA,10/8/20,469306,705884795
AFRICA,10/8/20,2144477,705884795
AFRICA,10/8/20,14203517,705884795
AFRICA,10/8/20,253694,705884795
AFRICA,10/8/20,8633,705884795
AFRICA,10/8/20,14450180,705884795
AFRICA,10/8/20,76381,705884795
AFRICA,10/8/20,2309908,705884795
AFRICA,10/8/20,2417332,705884795
AFRICA,11/5/20,2231451,846921746
AFRICA,11/5/20,45478,846921746
AFRICA,11/5/20,19319,846921746
AFRICA,11/5/20,59460,846921746
AFRICA,11/5/20,1653037,846921746
AFRICA,11/5/20,4788109,846921746
AFRICA,11/5/20,25988,846921746
AFRICA,11/5/20,437290,846921746
AFRICA,11/5/20,22399960,846921746
AFRICA,11/5/20,42841,846921746
AFRICA,11/5/20,761524,846921746
AFRICA,11/5/20,452714,846921746
AFRICA,11/5/20,5829757,846921746
AFRICA,11/5/20,6724340,846921746
AFRICA,11/5/20,50991,846921746
AFRICA,11/5/20,876562,846921746
AFRICA,11/5/20,52179,846921746
AFRICA,11/5/20,1776394,846921746
AFRICA,11/5/20,1382847,846921746
AFRICA,11/5/20,512523,846921746
AFRICA,11/5/20,497187,846921746
AFRICA,11/5/20,882536,846921746
AFRICA,11/5/20,14447370,846921746
AFRICA,11/5/20,2197028,846921746
AFRICA,11/5/20,2194071,846921746
AFRICA,11/5/20,5298559,846921746
AFRICA,11/5/20,2088699,846921746
AFRICA,11/5/20,3560216,846921746
AFRICA,11/5/20,36427,846921746
AFRICA,11/5/20,14970812,846921746
AFRICA,11/5/20,44407097,846921746
AFRICA,11/5/20,258471,846921746
AFRICA,11/5/20,7493,846921746
AFRICA,11/5/20,68221,846921746
AFRICA,11/6/18,13407541,977493288
AFRICA,11/6/18,147672,977493288
AFRICA,11/6/18,2295726,977493288
AFRICA,11/6/18,28537,977493288
AFRICA,11/6/18,20648,977493288
AFRICA,11/6/18,19120,977493288
AFRICA,11/6/18,4747642,977493288
AFRICA,11/6/18,1474258,977493288
AFRICA,11/6/18,4783369,977493288
AFRICA,11/6/18,6065268,977493288
AFRICA,11/6/18,29761,977493288
AFRICA,11/6/18,34876,977493288
AFRICA,11/6/18,675764,977493288
AFRICA,11/6/18,2364447,977493288
AFRICA,11/6/18,36422,977493288
AFRICA,11/6/18,863137,977493288
AFRICA,11/6/18,1025535,977493288
AFRICA,11/6/18,45457692,977493288
AFRICA,11/6/18,1657858,977493288
AFRICA,11/6/18,292720,977493288
AFRICA,11/6/18,12219442,977493288
AFRICA,11/6/18,2270402,977493288
AFRICA,11/6/18,11700,977493288
AFRICA,11/6/18,3773700,977493288
AFRICA,11/6/18,264516,977493288
AFRICA,11/6/18,4283,977493288
AFRICA,11/6/18,2308082,977493288
AFRICA,11/6/18,27988,977493288
AFRICA,11/6/18,35506,977493288
AFRICA,11/6/18,505429,977493288
AFRICA,11/6/18,233158,977493288
AFRICA,11/6/18,19258180,977493288
AFRICA,11/6/18,3935578,977493288
AFRICA,11/6/18,295585,977493288
AFRICA,12/8/19,4493043,1118875908
AFRICA,12/8/19,8160,1118875908
AFRICA,12/8/19,21696345,1118875908
AFRICA,12/8/19,1471840,1118875908
AFRICA,12/8/19,5297959,1118875908
AFRICA,12/8/19,29049,1118875908
AFRICA,12/8/19,2334783,1118875908
AFRICA,12/8/19,46945,1118875908
AFRICA,12/8/19,13454714,1118875908
AFRICA,12/8/19,1027670,1118875908
AFRICA,12/8/19,392554,1118875908
AFRICA,12/8/19,3655617,1118875908
AFRICA,12/8/19,392177,1118875908
AFRICA,12/8/19,716351,1118875908
AFRICA,12/8/19,48372,1118875908
AFRICA,12/8/19,52579,1118875908
AFRICA,12/8/19,45564,1118875908
AFRICA,12/8/19,223764,1118875908
AFRICA,12/8/19,1680004,1118875908
AFRICA,12/8/19,2285995,1118875908
AFRICA,12/8/19,2370632,1118875908
AFRICA,12/8/19,14944,1118875908
AFRICA,12/8/19,56947,1118875908
AFRICA,12/8/19,5614781,1118875908
AFRICA,12/8/19,29251,1118875908
AFRICA,12/8/19,6407488,1118875908
AFRICA,12/8/19,410914,1118875908
AFRICA,12/8/19,624019,1118875908
AFRICA,12/8/19,47579704,1118875908
AFRICA,12/8/19,2815915,1118875908
AFRICA,12/8/19,26072,1118875908
AFRICA,12/8/19,14840874,1118875908
AFRICA,12/8/19,858779,1118875908
AFRICA,12/8/19,378815,1118875908
AFRICA,13/4/20,34000,1269752436
AFRICA,13/4/20,5711808,1269752436
AFRICA,13/4/20,47493512,1269752436
AFRICA,13/4/20,15780670,1269752436
AFRICA,13/4/20,16140089,1269752436
AFRICA,13/4/20,33849,1269752436
AFRICA,13/4/20,44633,1269752436
AFRICA,13/4/20,2315346,1269752436
AFRICA,13/4/20,801366,1269752436
AFRICA,13/4/20,433540,1269752436
AFRICA,13/4/20,7213297,1269752436
AFRICA,13/4/20,48251,1269752436
AFRICA,13/4/20,447145,1269752436
AFRICA,13/4/20,5123457,1269752436
AFRICA,13/4/20,6598,1269752436
AFRICA,13/4/20,1819830,1269752436
AFRICA,13/4/20,249343,1269752436
AFRICA,13/4/20,1466409,1269752436
AFRICA,13/4/20,11802,1269752436
AFRICA,13/4/20,2346267,1269752436
AFRICA,13/4/20,24317695,1269752436
AFRICA,13/4/20,22091,1269752436
AFRICA,13/4/20,3764191,1269752436
AFRICA,13/4/20,69793,1269752436
AFRICA,13/4/20,2305891,1269752436
AFRICA,13/4/20,48173,1269752436
AFRICA,13/4/20,801167,1269752436
AFRICA,13/4/20,51030,1269752436
AFRICA,13/4/20,2245299,1269752436
AFRICA,13/4/20,872142,1269752436
AFRICA,13/4/20,6364144,1269752436
AFRICA,13/4/20,1560974,1269752436
AFRICA,13/4/20,423133,1269752436
AFRICA,13/4/20,509593,1269752436
AFRICA,13/5/19,3400397,1408382632
AFRICA,13/5/19,2164306,1408382632
AFRICA,13/5/19,21526980,1408382632
AFRICA,13/5/19,14485,1408382632
AFRICA,13/5/19,347474,1408382632
AFRICA,13/5/19,34161,1408382632
AFRICA,13/5/19,46217159,1408382632
AFRICA,13/5/19,2282838,1408382632
AFRICA,13/5/19,557313,1408382632
AFRICA,13/5/19,874546,1408382632
AFRICA,13/5/19,5461283,1408382632
AFRICA,13/5/19,361827,1408382632
AFRICA,13/5/19,1286622,1408382632
AFRICA,13/5/19,392733,1408382632
AFRICA,13/5/19,37592,1408382632
AFRICA,13/5/19,34984,1408382632
AFRICA,13/5/19,2198917,1408382632
AFRICA,13/5/19,4501016,1408382632
AFRICA,13/5/19,7669,1408382632
AFRICA,13/5/19,2474936,1408382632
AFRICA,13/5/19,1160265,1408382632
AFRICA,13/5/19,23448,1408382632
AFRICA,13/5/19,55775,1408382632
AFRICA,13/5/19,1589974,1408382632
AFRICA,13/5/19,37998,1408382632
AFRICA,13/5/19,22289,1408382632
AFRICA,13/5/19,667416,1408382632
AFRICA,13/5/19,13546533,1408382632
AFRICA,13/5/19,357463,1408382632
AFRICA,13/5/19,198830,1408382632
AFRICA,13/5/19,14941059,1408382632
AFRICA,13/5/19,5355915,1408382632
AFRICA,13/5/19,41746,1408382632
AFRICA,13/5/19,6454247,1408382632
AFRICA,13/7/20,247610,1552614056
AFRICA,13/7/20,30552,1552614056
AFRICA,13/7/20,53306,1552614056
AFRICA,13/7/20,49934,1552614056
AFRICA,13/7/20,2293030,1552614056
AFRICA,13/7/20,1537432,1552614056
AFRICA,13/7/20,1705837,1552614056
AFRICA,13/7/20,6286942,1552614056
AFRICA,13/7/20,7021479,1552614056
AFRICA,13/7/20,42355,1552614056
AFRICA,13/7/20,957155,1552614056
AFRICA,13/7/20,1242031,1552614056
AFRICA,13/7/20,78140,1552614056
AFRICA,13/7/20,44802868,1552614056
AFRICA,13/7/20,23167749,1552614056
AFRICA,13/7/20,924179,1552614056
AFRICA,13/7/20,2062235,1552614056
AFRICA,13/7/20,12426,1552614056
AFRICA,13/7/20,2412479,1552614056
AFRICA,13/7/20,465865,1552614056
AFRICA,13/7/20,485832,1552614056
AFRICA,13/7/20,15425208,1552614056
AFRICA,13/7/20,37446,1552614056
AFRICA,13/7/20,55928,1552614056
AFRICA,13/7/20,7162,1552614056
AFRICA,13/7/20,2164852,1552614056
AFRICA,13/7/20,3764621,1552614056
AFRICA,13/7/20,466244,1552614056
AFRICA,13/7/20,14887954,1552614056
AFRICA,13/7/20,533372,1552614056
AFRICA,13/7/20,5319015,1552614056
AFRICA,13/7/20,4912598,1552614056
AFRICA,13/7/20,754615,1552614056
AFRICA,13/7/20,22973,1552614056
AFRICA,13/8/18,13144,1686456923
AFRICA,13/8/18,38494,1686456923
AFRICA,13/8/18,4873079,1686456923
AFRICA,13/8/18,42842,1686456923
AFRICA,13/8/18,30208,1686456923
AFRICA,13/8/18,2377180,1686456923
AFRICA,13/8/18,26952,1686456923
AFRICA,13/8/18,1335138,1686456923
AFRICA,13/8/18,1402591,1686456923
AFRICA,13/8/18,2228728,1686456923
AFRICA,13/8/18,6040611,1686456923
AFRICA,13/8/18,29962,1686456923
AFRICA,13/8/18,303004,1686456923
AFRICA,13/8/18,542074,1686456923
AFRICA,13/8/18,1567898,1686456923
AFRICA,13/8/18,2419336,1686456923
AFRICA,13/8/18,295258,1686456923
AFRICA,13/8/18,47221794,1686456923
AFRICA,13/8/18,18414,1686456923
AFRICA,13/8/18,162170,1686456923
AFRICA,13/8/18,20059991,1686456923
AFRICA,13/8/18,12163194,1686456923
AFRICA,13/8/18,4833243,1686456923
AFRICA,13/8/18,280353,1686456923
AFRICA,13/8/18,3897948,1686456923
AFRICA,13/8/18,3519281,1686456923
AFRICA,13/8/18,269289,1686456923
AFRICA,13/8/18,2273669,1686456923
AFRICA,13/8/18,29222,1686456923
AFRICA,13/8/18,13987748,1686456923
AFRICA,13/8/18,4375,1686456923
AFRICA,13/8/18,19112,1686456923
AFRICA,13/8/18,845361,1686456923
AFRICA,13/8/18,691204,1686456923
AFRICA,14/5/18,3506788,1815463471
AFRICA,14/5/18,3832615,1815463471
AFRICA,14/5/18,4708879,1815463471
AFRICA,14/5/18,2292793,1815463471
AFRICA,14/5/18,433588,1815463471
AFRICA,14/5/18,844748,1815463471
AFRICA,14/5/18,2255571,1815463471
AFRICA,14/5/18,551965,1815463471
AFRICA,14/5/18,11689486,1815463471
AFRICA,14/5/18,20736,1815463471
AFRICA,14/5/18,22324,1815463471
AFRICA,14/5/18,1317766,1815463471
AFRICA,14/5/18,1577615,1815463471
AFRICA,14/5/18,45106250,1815463471
AFRICA,14/5/18,303780,1815463471
AFRICA,14/5/18,16362,1815463471
AFRICA,14/5/18,318615,1815463471
AFRICA,14/5/18,262372,1815463471
AFRICA,14/5/18,35570,1815463471
AFRICA,14/5/18,19064049,1815463471
AFRICA,14/5/18,2342862,1815463471
AFRICA,14/5/18,13510164,1815463471
AFRICA,14/5/18,5247,1815463471
AFRICA,14/5/18,164927,1815463471
AFRICA,14/5/18,38807,1815463471
AFRICA,14/5/18,29194,1815463471
AFRICA,14/5/18,4490794,1815463471
AFRICA,14/5/18,38676,1815463471
AFRICA,14/5/18,1360374,1815463471
AFRICA,14/5/18,292128,1815463471
AFRICA,14/5/18,29943,1815463471
AFRICA,14/5/18,36441,1815463471
AFRICA,14/5/18,5948606,1815463471
AFRICA,14/5/18,2556513,1815463471
AFRICA,15/4/19,288490,1943361049
AFRICA,15/4/19,5928510,1943361049
AFRICA,15/4/19,1507147,1943361049
AFRICA,15/4/19,20078905,1943361049
AFRICA,15/4/19,819852,1943361049
AFRICA,15/4/19,335630,1943361049
AFRICA,15/4/19,4922944,1943361049
AFRICA,15/4/19,30489,1943361049
AFRICA,15/4/19,3267487,1943361049
AFRICA,15/4/19,6073,1943361049
AFRICA,15/4/19,4140820,1943361049
AFRICA,15/4/19,283928,1943361049
AFRICA,15/4/19,49608,1943361049
AFRICA,15/4/19,42306121,1943361049
AFRICA,15/4/19,22858,1943361049
AFRICA,15/4/19,23898,1943361049
AFRICA,15/4/19,5077703,1943361049
AFRICA,15/4/19,459413,1943361049
AFRICA,15/4/19,2330030,1943361049
AFRICA,15/4/19,2187173,1943361049
AFRICA,15/4/19,29140,1943361049
AFRICA,15/4/19,28152,1943361049
AFRICA,15/4/19,1238717,1943361049
AFRICA,15/4/19,162602,1943361049
AFRICA,15/4/19,12583645,1943361049
AFRICA,15/4/19,1120165,1943361049
