interest_id,ranking
32486.0,1
6106.0,2
18923.0,3
6344.0,4
100.0,5
69.0,6
79.0,7
6111.0,8
6214.0,8
19422.0,10
6110.0,11
4895.0,12
41548.0,1
6217.0,13
41548.0,1
4.0,14
6218.0,15
6123.0,16
171.0,17
41548.0,1
,1
19613.0,18
41548.0,1
17.0,19
6.0,20
22502.0,2
6013.0,21
115.0,2
41548.0,1
4870.0,22
115.0,2
19423.0,23
41548.0,1
6089.0,24
22502.0,3
161.0,25
6286.0,25
5991.0,27
,2
92.0,28
6184.0,29
41548.0,1
19621.0,30
63.0,31
103.0,32
42203.0,4
38.0,33
17786.0,34
41548.0,1
6232.0,35
22502.0,3
42203.0,4
165.0,36
41548.0,1
42203.0,3
18351.0,37
,3
115.0,4
6206.0,5
15.0,38
6206.0,5
41854.0,6
,4
17314.0,39
6151.0,39
4914.0,39
,5
115.0,42
5968.0,42
36.0,44
,6
5943.0,45
6285.0,1
6206.0,5
133.0,46
1.0,46
114.0,48
42203.0,2
6107.0,49
150.0,49
48154.0,6
6218.0,1
41854.0,7
60.0,51
151.0,8
,7
96.0,52
19250.0,6
22403.0,53
40.0,54
19758.0,54
6285.0,9
12133.0,7
17730.0,56
5938.0,57
4869.0,57
,8
,9
4897.0,59
6218.0,2
44272.0,7
48154.0,8
6029.0,60
31.0,60
171.0,9
6285.0,2
16137.0,62
151.0,8
12133.0,10
,10
44453.0,10
4.0,10
6330.0,63
6334.0,63
6315.0,63
,11
4852.0,66
16.0,66
,12
6108.0,68
6206.0,68
41854.0,9
45518.0,10
5970.0,11
47130.0,11
,13
,13
6006.0,70
6228.0,70
20768.0,70
35904.0,11
,15
,15
6013.0,3
48154.0,12
171.0,13
,17
6285.0,3
115.0,2
6285.0,13
19250.0,14
6285.0,12
44272.0,12
4902.0,73
37875.0,14
151.0,14
,18
35904.0,15
38.0,16
6277.0,74
6013.0,3
,19
40439.0,14
12133.0,14
44272.0,16
47713.0,17
,20
19757.0,75
4911.0,75
6218.0,4
22502.0,3
42203.0,3
39665.0,16
4910.0,77
19298.0,17
4.0,17
47713.0,18
19250.0,18
16.0,19
6285.0,78
47130.0,19
44588.0,19
,21
11974.0,79
6219.0,79
115.0,5
4.0,5
17269.0,21
38.0,18
35904.0,20
10250.0,81
4.0,22
6286.0,19
44446.0,21
44489.0,21
,22
115.0,2
151.0,5
171.0,5
19298.0,23
,23
171.0,4
40439.0,20
,24
6128.0,82
6232.0,21
,25
,25
5946.0,83
158.0,83
6232.0,23
6286.0,23
6286.0,24
,27
,27
15935.0,85
6219.0,5
19295.0,25
40439.0,25
,29
4855.0,86
149.0,86
115.0,4
115.0,2
16197.0,88
44453.0,22
,30
,30
11067.0,89
38.0,6
171.0,26
37875.0,26
6232.0,26
,32
17674.0,90
4913.0,90
115.0,7
41854.0,7
47130.0,7
48154.0,7
5968.0,23
56.0,92
6341.0,92
6316.0,92
18647.0,92
17803.0,92
171.0,8
6013.0,8
37875.0,9
6285.0,9
38.0,28
17269.0,24
10008.0,24
47130.0,27
,33
,33
42203.0,3
19295.0,26
23.0,97
44489.0,27
132.0,98
6365.0,98
5970.0,29
37875.0,28
19298.0,28
44446.0,28
,35
6378.0,100
4.0,4
19250.0,11
41069.0,30
41191.0,30
41069.0,28
,36
,36
,36
,36
17673.0,101
97.0,101
7537.0,101
20764.0,101
171.0,5
5970.0,12
10008.0,32
39665.0,29
,40
,40
,40
,43
44.0,105
5.0,105
6227.0,105
22502.0,6
6285.0,5
115.0,2
44446.0,33
10980.0,31
44585.0,31
6218.0,30
,43
,45
19.0,108
93.0,108
6218.0,1
,45
6218.0,1
6219.0,7
44588.0,13
45678.0,34
44489.0,34
39665.0,33
6085.0,110
,47
6206.0,8
6206.0,10
5970.0,10
47713.0,34
38990.0,34
6112.0,111
,48
6285.0,2
,48
,48
6013.0,31
17269.0,31
5970.0,31
38990.0,31
33.0,31
4873.0,112
,51
,51
,51
,51
115.0,2
,51
11975.0,113
