txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,txn_time
1,c81e72,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
2,eccbc8,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
3,a87ff6,BTC,01-01-2017,BUY,50.0,0.0,2017-01-01T00:00:00.000Z
4,e4da3b,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
5,167909,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
6,c4ca42,BTC,01-01-2017,BUY,50.0,0.02,2017-01-01T00:00:00.000Z
7,8f14e4,BTC,01-01-2017,BUY,50.0,0.21,2017-01-01T00:00:00.000Z
8,c9f0f8,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
9,45c48c,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
10,d3d944,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
11,6512bd,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
12,c20ad4,BTC,01-01-2017,BUY,50.0,0.3,2017-01-01T00:00:00.000Z
13,c51ce4,BTC,01-01-2017,BUY,50.0,0.26,2017-01-01T00:00:00.000Z
14,aab323,BTC,01-01-2017,BUY,50.0,0.22,2017-01-01T00:00:00.000Z
31,6512bd,BTC,01-01-2017,BUY,2.271062586,0.21,2017-01-01T06:40:48.692Z
32,c20ad4,BTC,01-01-2017,BUY,6.101895756,0.3,2017-01-01T07:13:52.126Z
35,6512bd,BTC,01-01-2017,BUY,6.73841781,0.3,2017-01-01T11:00:14.003Z
36,6512bd,BTC,01-01-2017,BUY,9.378757912,0.3,2017-01-01T12:03:33.017Z
37,c20ad4,BTC,01-01-2017,BUY,4.394808986,0.3,2017-01-01T13:23:05.640Z
38,45c48c,BTC,01-01-2017,BUY,4.666031683,0.3,2017-01-01T16:15:42.161Z
39,c20ad4,BTC,01-01-2017,BUY,3.563597579,0.25,2017-01-01T16:23:16.957Z
43,8f14e4,BTC,01-01-2017,BUY,4.112440109,0.3,2017-01-01T22:19:46.693Z
45,167909,BTC,01-01-2017,BUY,8.129992969,0.28,2017-01-01T22:44:57.081Z
46,eccbc8,BTC,02-01-2017,BUY,3.729789722,0.23,2017-01-02T00:36:35.327Z
50,c51ce4,BTC,02-01-2017,BUY,1.695672235,0.08,2017-01-02T05:47:52.702Z
51,167909,BTC,02-01-2017,BUY,4.732996255,0.3,2017-01-02T08:23:56.047Z
53,a87ff6,BTC,02-01-2017,BUY,5.959804819,0.3,2017-01-02T09:55:27.347Z
55,6512bd,BTC,02-01-2017,BUY,5.543838119,0.3,2017-01-02T11:12:42.895Z
56,d3d944,BTC,02-01-2017,SELL,0.617022836,0.18,2017-01-02T11:47:14.983Z
57,d3d944,BTC,02-01-2017,BUY,8.675939586,0.3,2017-01-02T14:02:49.858Z
58,aab323,BTC,02-01-2017,BUY,0.150368926,0.3,2017-01-02T14:40:12.812Z
59,c4ca42,BTC,02-01-2017,BUY,6.079650398,0.3,2017-01-02T14:57:58.581Z
60,a87ff6,BTC,02-01-2017,BUY,9.011177226,0.3,2017-01-02T17:16:29.063Z
61,aab323,BTC,02-01-2017,BUY,1.029599926,0.05,2017-01-02T19:45:03.907Z
65,6512bd,BTC,02-01-2017,BUY,3.012760299,0.3,2017-01-02T21:00:49.342Z
66,c4ca42,BTC,02-01-2017,BUY,1.194319601,0.18,2017-01-02T21:05:35.110Z
67,c51ce4,BTC,02-01-2017,SELL,6.14200575,0.3,2017-01-02T21:52:03.560Z
68,aab323,BTC,02-01-2017,BUY,8.876596041,0.05,2017-01-02T22:57:52.892Z
69,c51ce4,BTC,03-01-2017,BUY,1.791975102,0.11,2017-01-03T00:44:20.879Z
73,8f14e4,BTC,03-01-2017,SELL,3.704582949,0.3,2017-01-03T04:40:59.433Z
74,e4da3b,BTC,03-01-2017,SELL,5.375890939,0.29,2017-01-03T06:24:45.189Z
77,a87ff6,BTC,03-01-2017,BUY,3.807694538,0.3,2017-01-03T12:30:20.779Z
80,c20ad4,BTC,03-01-2017,BUY,9.201727658,0.3,2017-01-03T14:53:13.801Z
