customer_id,total_amount
442,13201
424,12776
197,12509
476,12490
192,12447
281,12312
131,12264
22,12048
37,11989
155,11824
284,11773
218,11553
102,11528
376,11512
467,11484
179,11461
405,11426
422,11259
398,11249
27,11182
344,11173
356,11138
76,11127
69,11037
275,11007
216,10988
434,10967
185,10957
448,10942
110,10921
372,10885
360,10806
271,10796
226,10786
153,10781
234,10726
61,10713
145,10675
416,10674
177,10672
283,10639
456,10534
10,10500
203,10475
475,10391
306,10383
340,10380
418,10354
404,10352
432,10339
328,10273
217,10271
210,10268
86,10221
435,10210
82,10182
211,10144
223,10021
183,10006
301,9949
49,9928
154,9909
368,9850
500,9843
394,9832
181,9812
472,9780
267,9758
161,9753
473,9672
120,9655
91,9655
165,9601
58,9587
186,9476
140,9453
201,9413
366,9384
38,9350
309,9348
29,9288
462,9201
251,9197
205,9167
6,9104
16,9086
269,9068
253,8996
194,8969
242,8966
126,8926
184,8920
41,8915
259,8852
45,8796
349,8764
323,8763
384,8747
90,8732
95,8710
256,8660
240,8639
160,8635
445,8594
48,8529
298,8523
254,8462
171,8451
499,8435
332,8430
47,8411
274,8386
276,8378
364,8335
245,8285
370,8280
409,8239
5,8233
89,8213
396,8210
330,8198
489,8146
483,8128
146,8127
42,8120
39,8104
346,8102
83,8029
469,8023
289,8019
139,7989
477,7988
290,7979
299,7974
338,7972
268,7954
56,7946
491,7939
143,7921
350,7911
144,7843
417,7793
297,7768
21,7749
67,7706
300,7691
209,7689
386,7687
206,7676
265,7660
367,7623
304,7615
441,7612
138,7605
123,7588
250,7573
174,7564
125,7552
93,7532
342,7487
454,7429
134,7416
97,7361
232,7355
163,7319
303,7310
390,7309
224,7303
188,7303
333,7272
331,7267
40,7254
167,7230
202,7221
33,7221
393,7079
212,7065
278,7050
380,7012
449,7007
383,6987
11,6966
257,6960
129,6955
124,6943
426,6930
427,6924
35,6917
106,6846
214,6824
463,6802
487,6794
270,6726
292,6724
150,6717
246,6710
339,6709
264,6709
287,6708
385,6701
311,6683
415,6681
293,6644
492,6613
87,6613
175,6589
7,6553
320,6545
353,6508
219,6474
438,6465
461,6464
207,6464
273,6462
169,6460
365,6406
103,6389
389,6373
374,6370
302,6351
363,6332
459,6322
220,6290
152,6270
96,6266
81,6254
43,6251
70,6230
407,6217
46,6194
308,6183
170,6166
50,6156
371,6095
149,6086
262,6082
296,6042
391,6014
189,5965
72,5953
406,5913
130,5900
239,5881
248,5870
198,5849
322,5835
258,5817
227,5781
236,5762
200,5741
233,5740
272,5649
312,5648
413,5621
444,5614
132,5613
343,5595
378,5582
121,5577
478,5573
313,5560
100,5535
307,5522
213,5521
420,5502
395,5497
9,5494
460,5493
235,5456
352,5433
157,5430
187,5422
447,5386
482,5370
329,5334
108,5292
237,5276
8,5247
55,5189
481,5172
32,5163
141,5144
63,5140
215,5126
451,5114
382,5099
347,5096
399,5095
13,5095
78,5082
452,5049
36,5033
419,5028
178,5019
173,5015
450,4984
351,4960
355,4950
135,4891
158,4890
498,4888
295,4839
64,4829
485,4822
25,4802
51,4788
358,4780
348,4778
113,4770
457,4744
94,4742
282,4723
453,4713
279,4699
325,4668
66,4613
493,4610
151,4595
345,4594
104,4586
443,4547
359,4532
105,4528
136,4519
180,4515
425,4487
88,4476
60,4475
310,4474
430,4470
324,4444
222,4388
148,4384
381,4383
337,4364
375,4349
334,4330
182,4293
468,4291
26,4276
387,4264
142,4255
280,4239
231,4235
465,4228
316,4195
122,4194
28,4178
335,4173
261,4121
288,4091
388,4054
112,4054
101,4033
437,3982
176,3933
486,3932
115,3929
373,3839
18,3839
496,3820
260,3813
230,3788
238,3763
128,3756
401,3755
495,3717
400,3684
24,3666
98,3656
423,3603
392,3591
118,3585
59,3582
199,3534
377,3523
314,3519
266,3488
305,3440
410,3430
244,3423
464,3400
294,3387
221,3381
341,3368
414,3352
421,3336
379,3316
65,3281
497,3264
327,3250
429,3239
54,3218
318,3088
408,3050
68,3048
57,3036
117,3030
23,3014
53,2933
369,2931
336,2875
166,2839
34,2791
277,2757
402,2746
172,2740
362,2705
466,2685
191,2671
247,2629
52,2612
255,2594
20,2578
433,2562
229,2533
436,2510
109,2491
196,2406
225,2375
403,2365
80,2341
488,2321
480,2315
228,2312
428,2297
319,2296
114,2291
315,2287
357,2216
31,2211
243,2209
470,2195
14,2165
439,2150
137,2118
474,2115
458,2083
411,2083
446,2079
190,2076
147,2032
494,2019
3,2003
12,1993
285,1965
291,1925
1,1912
484,1908
204,1893
471,1887
321,1870
397,1855
252,1831
92,1828
44,1823
17,1822
479,1807
326,1795
107,1766
19,1756
361,1686
127,1672
116,1672
431,1657
159,1639
208,1623
77,1621
455,1543
71,1521
85,1506
354,1486
317,1469
119,1448
30,1436
490,1412
168,1403
79,1380
84,1327
412,1320
440,1308
249,1235
62,1199
263,1170
99,1161
162,1156
15,1102
4,1041
164,957
133,926
193,892
111,827
2,610
195,572
73,513
74,318
156,312
241,302
75,294
286,183
