customer_id,transaction_count,avg_transaction,total_value
442,21,628.6190476190476,13201
424,20,638.8,12776
197,21,595.6666666666666,12509
476,20,624.5,12490
192,21,592.7142857142857,12447
281,22,559.6363636363636,12312
131,22,557.4545454545455,12264
22,19,634.1052631578947,12048
37,22,544.9545454545455,11989
155,20,591.2,11824
284,22,535.1363636363636,11773
218,22,525.1363636363636,11553
102,21,548.952380952381,11528
376,21,548.1904761904761,11512
467,22,522.0,11484
179,22,520.9545454545455,11461
405,21,544.0952380952381,11426
422,21,536.1428571428571,11259
398,20,562.45,11249
27,20,559.1,11182
344,21,532.047619047619,11173
356,18,618.7777777777778,11138
76,17,654.5294117647059,11127
69,22,501.6818181818182,11037
275,20,550.35,11007
216,19,578.3157894736842,10988
434,19,577.2105263157895,10967
185,19,576.6842105263158,10957
448,21,521.047619047619,10942
110,20,546.05,10921
372,21,518.3333333333334,10885
360,18,600.3333333333334,10806
271,20,539.8,10796
226,22,490.27272727272725,10786
153,20,539.05,10781
234,22,487.54545454545456,10726
61,22,486.95454545454544,10713
145,18,593.0555555555555,10675
416,19,561.7894736842105,10674
177,18,592.8888888888889,10672
283,20,531.95,10639
456,19,554.421052631579,10534
10,18,583.3333333333334,10500
203,22,476.1363636363636,10475
475,20,519.55,10391
306,17,610.7647058823529,10383
340,19,546.3157894736842,10380
418,19,544.9473684210526,10354
404,21,492.95238095238096,10352
432,18,574.3888888888889,10339
328,19,540.6842105263158,10273
217,20,513.55,10271
210,20,513.4,10268
86,19,537.9473684210526,10221
435,22,464.09090909090907,10210
82,16,636.375,10182
211,19,533.8947368421053,10144
223,20,501.05,10021
183,19,526.6315789473684,10006
301,22,452.22727272727275,9949
49,19,522.5263157894736,9928
154,21,471.85714285714283,9909
368,20,492.5,9850
500,16,615.1875,9843
394,16,614.5,9832
181,18,545.1111111111111,9812
472,21,465.7142857142857,9780
267,18,542.1111111111111,9758
161,21,464.42857142857144,9753
473,17,568.9411764705883,9672
120,17,567.9411764705883,9655
91,19,508.1578947368421,9655
165,22,436.40909090909093,9601
58,17,563.9411764705883,9587
186,19,498.7368421052632,9476
140,17,556.0588235294117,9453
201,17,553.7058823529412,9413
366,21,446.85714285714283,9384
38,20,467.5,9350
309,18,519.3333333333334,9348
29,17,546.3529411764706,9288
462,21,438.14285714285717,9201
251,17,541.0,9197
205,19,482.4736842105263,9167
6,19,479.1578947368421,9104
16,17,534.4705882352941,9086
269,19,477.2631578947368,9068
253,13,692.0,8996
194,18,498.27777777777777,8969
242,22,407.54545454545456,8966
126,15,595.0666666666667,8926
184,17,524.7058823529412,8920
41,18,495.27777777777777,8915
259,16,553.25,8852
45,18,488.6666666666667,8796
349,16,547.75,8764
323,16,547.6875,8763
384,16,546.6875,8747
90,20,436.6,8732
95,15,580.6666666666666,8710
256,19,455.7894736842105,8660
240,17,508.1764705882353,8639
160,14,616.7857142857143,8635
445,17,505.52941176470586,8594
48,19,448.89473684210526,8529
298,19,448.57894736842104,8523
254,14,604.4285714285714,8462
171,15,563.4,8451
499,17,496.1764705882353,8435
332,19,443.6842105263158,8430
47,17,494.7647058823529,8411
274,17,493.29411764705884,8386
276,15,558.5333333333333,8378
364,18,463.05555555555554,8335
245,19,436.05263157894734,8285
370,16,517.5,8280
409,13,633.7692307692307,8239
5,11,748.4545454545455,8233
89,16,513.3125,8213
396,18,456.1111111111111,8210
330,15,546.5333333333333,8198
489,17,479.1764705882353,8146
483,15,541.8666666666667,8128
146,14,580.5,8127
42,14,580.0,8120
39,17,476.70588235294116,8104
346,14,578.7142857142857,8102
83,15,535.2666666666667,8029
469,15,534.8666666666667,8023
289,14,572.7857142857143,8019
139,15,532.6,7989
477,17,469.88235294117646,7988
290,13,613.7692307692307,7979
299,15,531.6,7974
338,13,613.2307692307693,7972
268,19,418.63157894736844,7954
56,19,418.2105263157895,7946
491,14,567.0714285714286,7939
143,16,495.0625,7921
350,18,439.5,7911
144,16,490.1875,7843
417,15,519.5333333333333,7793
297,17,456.94117647058823,7768
21,18,430.5,7749
67,15,513.7333333333333,7706
300,19,404.7894736842105,7691
209,14,549.2142857142857,7689
386,14,549.0714285714286,7687
206,15,511.73333333333335,7676
