item_name,qty_sold(kg)
Paopaojiao (Jingpin),0.396
Chinese Cabbage,0.849
Paopaojiao (Jingpin),0.409
Shanghaiqing,0.421
Caixin,0.539
Paopaojiao (Jingpin),0.277
Yunnan Shengcai,0.338
Paopaojiao (Jingpin),0.132
Yunnan Shengcai,0.213
Sweet Chinese Cabbage,0.514
High Melon (1),0.251
Yunnan Lettuces,0.251
Xixia Mushroom (1),0.217
Yunnan Lettuces,0.468
Green Hot Peppers,0.589
High Melon (1),0.711
Yunnan Shengcai,1.003
Xixia Mushroom (1),0.095
Red Pepper (1),0.15
Yunnan Lettuces,0.502
Yunnan Lettuces,0.452
Caixin,0.501
Yunnan Shengcai,0.201
Yunnan Shengcai,0.439
Amaranth,0.686
Broccoli,0.329
Caixin,0.251
Spinach,0.243
Xixia Mushroom (1),0.256
Yunnan Lettuces,0.318
Qinggengsanhua,0.445
Yunnan Shengcai,0.363
7 Colour Pepper (1),0.482
The Red Bell Pepper (1),0.343
Yunnan Lettuces,0.502
Yunnan Shengcai,0.301
Paopaojiao (Jingpin),0.198
Green Line Pepper,0.172
Paopaojiao (Jingpin),0.66
Yunnan Lettuces,0.753
Yunnan Lettuces,0.552
Green Line Pepper,0.057
Chinese Cabbage,1.101
Needle Mushroom (1),0.435
Yunnan Lettuces,0.201
Needle Mushroom (1),0.452
Yunnan Lettuces,0.385
Broccoli,0.522
Yunnan Lettuces,0.435
Honghu Lotus Root,0.545
Qinggengsanhua,0.368
Caixin,0.313
Yunnan Shengcai,0.276
Needle Mushroom (1),0.217
Broccoli,0.236
Sweet Chinese Cabbage,0.451
Xixia Mushroom (1),0.184
Yunnan Lettuces,0.418
Yunnan Lettuces,0.502
Needle Mushroom (1),0.468
Hongshujian,0.234
Apricot Bao Mushroom (1),0.301
Zhuyecai,0.786
Qinggengsanhua,0.401
Chinese Cabbage,0.629
Qinggengsanhua,0.457
Broccoli,0.401
Paopaojiao (Jingpin),0.554
Huangbaicai (2),0.969
Hongshujian,0.468
Paopaojiao (Jingpin),0.145
Yunnan Shengcai,0.251
Green Eggplant (1),0.829
Paopaojiao (Jingpin),0.581
Green Eggplant (1),0.402
Amaranth,0.702
Huangbaicai (2),0.768
Hongshujian,0.234
Yunnan Lettuces,0.769
Broccoli,0.329
Yunnan Lettuces,0.585
Green Eggplant (1),0.402
Amaranth,0.636
Xixia Mushroom (1),0.095
Yunnan Shengcai,0.426
Green Eggplant (1),0.427
Yunnan Lettuces,0.636
Xixia Mushroom (1),0.312
Green Line Pepper,0.372
Paopaojiao (Jingpin),0.515
Red Hang Pepper,0.339
Chinese Cabbage,1.321
Broccoli,0.386
Eggplant (2),0.585
Millet Pepper,0.182
Yunnan Shengcai,0.476
Millet Pepper,0.058
Apricot Bao Mushroom (1),0.2
Yunnan Shengcai,0.338
Qinggengsanhua,0.523
Apricot Bao Mushroom (1),0.261
Red Hang Pepper,0.072
Chinese Cabbage,1.132
Paopaojiao (Jingpin),0.369
Apricot Bao Mushroom (1),0.22
Yunnan Shengcai,0.276
Broccoli,0.393
Yunnan Shengcai,0.326
Yunnan Shengcai,0.363
Yunnan Lettuces,0.217
Millet Pepper,0.147
Yunnan Lettuces,0.686
Yunnan Lettuces,0.401
Paopaojiao (Jingpin),0.515
Needle Mushroom (1),0.318
Needle Mushroom (1),0.401
Shanghaiqing,0.241
Broccoli,0.393
Yunnan Shengcai,0.464
Amaranth,0.485
Needle Mushroom (1),0.502
Yunnan Shengcai,0.238
Chinese Cabbage,0.598
Chinese Cabbage,0.943
Yunnan Lettuces,0.368
Needle Mushroom (1),0.334
Chinese Cabbage,0.943
Qinggengsanhua,0.613
Paopaojiao (Jingpin),0.449
Yunnan Shengcai,0.551
Millet Pepper,0.159
Red Pepper (1),0.19
Paopaojiao (Jingpin),0.33
Xixia Mushroom (1),0.239
Yunnan Lettuces,0.535
Yunnan Lettuces,0.217
Shanghaiqing,0.661
Broccoli,0.329
Yunnan Shengcai,0.263
Eggplant (2),0.719
Zhuyecai,0.452
Needle Mushroom (1),0.502
Millet Pepper,0.12
Xixia Mushroom (1),0.212
Shanghaiqing,0.491
Amaranth,0.619
Yunnan Shengcai,0.489
Paopaojiao (Jingpin),0.238
Eggplant (2),0.652
