index,whsle_date,item_code,whsle_px_rmb-kg
33,2020-07-01 00:00:00,102900051000944,29.43
71,2020-07-02 00:00:00,102900051000944,29.54
141,2020-07-04 00:00:00,102900051000944,25.48
434,2020-07-12 00:00:00,102900051000944,24.05
875,2020-07-24 00:00:00,102900051000944,22.0
950,2020-07-26 00:00:00,102900051000944,22.0
988,2020-07-27 00:00:00,102900051000944,22.0
1218,2020-08-02 00:00:00,102900051000944,22.0
1261,2020-08-03 00:00:00,102900051000944,22.0
1303,2020-08-04 00:00:00,102900051000944,22.0
1343,2020-08-05 00:00:00,102900051000944,22.0
1387,2020-08-06 00:00:00,102900051000944,22.0
1434,2020-08-07 00:00:00,102900051000944,22.0
1479,2020-08-08 00:00:00,102900051000944,22.0
1524,2020-08-09 00:00:00,102900051000944,22.0
1563,2020-08-10 00:00:00,102900051000944,22.0
1602,2020-08-11 00:00:00,102900051000944,22.0
1642,2020-08-12 00:00:00,102900051000944,22.0
1679,2020-08-13 00:00:00,102900051000944,22.0
1722,2020-08-14 00:00:00,102900051000944,22.0
1765,2020-08-15 00:00:00,102900051000944,22.0
1805,2020-08-16 00:00:00,102900051000944,22.0
1844,2020-08-17 00:00:00,102900051000944,22.0
1883,2020-08-18 00:00:00,102900051000944,22.0
1925,2020-08-19 00:00:00,102900051000944,22.0
1967,2020-08-20 00:00:00,102900051000944,22.0
2008,2020-08-21 00:00:00,102900051000944,22.0
2049,2020-08-22 00:00:00,102900051000944,22.0
2088,2020-08-23 00:00:00,102900051000944,22.0
2129,2020-08-24 00:00:00,102900051000944,22.0
2169,2020-08-25 00:00:00,102900051000944,22.0
2210,2020-08-26 00:00:00,102900051000944,22.0
2253,2020-08-27 00:00:00,102900051000944,22.0
2295,2020-08-28 00:00:00,102900051000944,22.0
2336,2020-08-29 00:00:00,102900051000944,22.0
2377,2020-08-30 00:00:00,102900051000944,22.0
2418,2020-08-31 00:00:00,102900051000944,22.0
2457,2020-09-01 00:00:00,102900051000944,21.99
2499,2020-09-02 00:00:00,102900051000944,22.0
3347,2020-09-22 00:00:00,102900011012871,65.41
3436,2020-09-24 00:00:00,102900011010563,80.0
3487,2020-09-25 00:00:00,102900011010563,80.0
3537,2020-09-26 00:00:00,102900011010563,80.0
4772,2020-10-24 00:00:00,102900011001219,20.95
4817,2020-10-25 00:00:00,102900011001219,20.95
4862,2020-10-26 00:00:00,102900011001219,20.96
4906,2020-10-27 00:00:00,102900011001219,20.95
4950,2020-10-28 00:00:00,102900011001219,20.96
4995,2020-10-29 00:00:00,102900011001219,20.14
5052,2020-10-30 00:00:00,102900011012871,68.15
5098,2020-10-31 00:00:00,102900011012871,68.12
5128,2020-11-01 00:00:00,102900005117209,20.57
5172,2020-11-02 00:00:00,102900005117209,24.59
5215,2020-11-03 00:00:00,102900005117209,21.45
5483,2020-11-09 00:00:00,102900005125808,21.09
5528,2020-11-10 00:00:00,102900005125808,21.06
5546,2020-11-11 00:00:00,102900005115199,32.54
