item_name,whsle_px_rmb-kg
Niushou Shengcai,0.5
Niushou Shengcai,0.5
Niushou Shengcai,0.5
Niushou Shengcai,0.5
Niushou Shengcai,0.83
Niushou Shengcai,0.88
Niushou Shengcai,0.9
Niushou Shengcai,1.0
Niushou Shengcai,1.0
Niushou Shengcai,1.0
Niushou Shengcai,1.0
Niushou Shengcai,1.08
Niushou Shengcai,1.12
Niushou Shengcai,1.29
Niushou Shengcai,1.35
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.4
Niushou Shengcai,1.43
Niushou Shengcai,1.6
Niushou Shengcai,1.6
Niushou Shengcai,1.8
Niushou Shengcai,1.8
Niushou Shengcai,1.8
Niushou Shengcai,1.95
Niushou Shengcai,2.0
Niushou Shengcai,2.0
Niushou Shengcai,2.0
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.2
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.6
Niushou Shengcai,2.61
Niushou Shengcai,2.72
Niushou Shengcai,2.8
Niushou Shengcai,2.8
Niushou Shengcai,2.8
Niushou Shengcai,2.8
Niushou Shengcai,2.8
Niushou Shengcai,2.99
Niushou Shengcai,3.0
Niushou Shengcai,3.0
Niushou Shengcai,3.0
Niushou Shengcai,3.0
Niushou Shengcai,3.0
Niushou Shengcai,3.0
Niushou Shengcai,3.44
Niushou Shengcai,3.44
Niushou Shengcai,3.45
Niushou Shengcai,3.47
Niushou Shengcai,3.59
Niushou Shengcai,3.59
Niushou Shengcai,3.63
Niushou Shengcai,3.65
Niushou Shengcai,3.75
Niushou Shengcai,3.87
Niushou Shengcai,3.87
Niushou Shengcai,3.91
Niushou Shengcai,3.94
Niushou Shengcai,3.95
Niushou Shengcai,4.0
Niushou Shengcai,4.0
Niushou Shengcai,7.0
Niushou Shengcai,7.0
Niushou Shengcai,15.0
Sichuan Red Cedar,2.0
Sichuan Red Cedar,4.58
Sichuan Red Cedar,4.58
Sichuan Red Cedar,4.59
Sichuan Red Cedar,4.66
Sichuan Red Cedar,8.35
Sichuan Red Cedar,11.54
Sichuan Red Cedar,12.07
Sichuan Red Cedar,12.07
Sichuan Red Cedar,12.12
Sichuan Red Cedar,12.45
Sichuan Red Cedar,13.2
Sichuan Red Cedar,14.0
Sichuan Red Cedar,14.02
Sichuan Red Cedar,14.12
Sichuan Red Cedar,14.19
Sichuan Red Cedar,14.26
Sichuan Red Cedar,14.41
Sichuan Red Cedar,14.58
Sichuan Red Cedar,14.75
Sichuan Red Cedar,15.06
Sichuan Red Cedar,15.09
Sichuan Red Cedar,15.11
Sichuan Red Cedar,15.11
Sichuan Red Cedar,15.13
Sichuan Red Cedar,15.33
Sichuan Red Cedar,15.41
Sichuan Red Cedar,15.41
Sichuan Red Cedar,15.45
Sichuan Red Cedar,15.46
Sichuan Red Cedar,15.49
Sichuan Red Cedar,15.57
Sichuan Red Cedar,15.66
Sichuan Red Cedar,15.66
Sichuan Red Cedar,15.72
Sichuan Red Cedar,15.8
Sichuan Red Cedar,15.81
Sichuan Red Cedar,15.85
Sichuan Red Cedar,15.89
Sichuan Red Cedar,15.92
Sichuan Red Cedar,15.92
Sichuan Red Cedar,15.93
Sichuan Red Cedar,15.93
Sichuan Red Cedar,15.94
Sichuan Red Cedar,15.97
Sichuan Red Cedar,16.0
Sichuan Red Cedar,16.05
Sichuan Red Cedar,16.1
Sichuan Red Cedar,16.1
Sichuan Red Cedar,17.48
Sichuan Red Cedar,17.59
Sichuan Red Cedar,17.96
Sichuan Red Cedar,18.77
Sichuan Red Cedar,19.1
Sichuan Red Cedar,19.52
Sichuan Red Cedar,19.56
Sichuan Red Cedar,19.79
Sichuan Red Cedar,20.03
Sichuan Red Cedar,20.14
Sichuan Red Cedar,20.22
Sichuan Red Cedar,20.23
Sichuan Red Cedar,20.38
Sichuan Red Cedar,20.38
Sichuan Red Cedar,20.42
Sichuan Red Cedar,20.44
Sichuan Red Cedar,20.57
Sichuan Red Cedar,20.6
Sichuan Red Cedar,20.69
Sichuan Red Cedar,20.71
Sichuan Red Cedar,20.72
Sichuan Red Cedar,20.87
Sichuan Red Cedar,20.99
Sichuan Red Cedar,21.04
Sichuan Red Cedar,21.19
Sichuan Red Cedar,21.19
Sichuan Red Cedar,21.26
Sichuan Red Cedar,21.56
Sichuan Red Cedar,21.81
Sichuan Red Cedar,21.86
Sichuan Red Cedar,22.6
Sichuan Red Cedar,22.85
Sichuan Red Cedar,22.97
Sichuan Red Cedar,23.11
Sichuan Red Cedar,23.61
Sichuan Red Cedar,23.96
Sichuan Red Cedar,24.5
Sichuan Red Cedar,25.0
Sichuan Red Cedar,25.0
Sichuan Red Cedar,25.0
Sichuan Red Cedar,25.45
Sichuan Red Cedar,26.13
Sichuan Red Cedar,26.15
Sichuan Red Cedar,26.41
Sichuan Red Cedar,26.41
Sichuan Red Cedar,26.46
Sichuan Red Cedar,26.53
Sichuan Red Cedar,26.53
Sichuan Red Cedar,27.08
Sichuan Red Cedar,27.1
Sichuan Red Cedar,27.5
Sichuan Red Cedar,27.81
